Id,Gender,PermanentRecidence_cat,Recidence,CivilStatus_cat,HighestEducationQualification_cat,InterviewedBy,ExtraCurricularActivities,ApparelRelatedVocationalQualification,PreviousJob,ExperiencedSection_cat,RelativesInApparel,SpouseOccupation_cat,FamilyOppinionAboutTheJob,Referel_cat,ExpectationOfDoingTheJob_cat,AvailabilityOfTransportNearTheResidence,RetentionCategory,SelectedDepartment,ReasonForChooseApparel,PreviousWorkPlace,PersonalImpression,ContributionToTheFamilyIncome_cat,Children_cat,ApparelExperience,ReasonForLeaving_cat,Height,Weight,2nd_Month_Gross_Salary,Salary_Category,Salary_Category_2,Salary_Category_3,2nd_Month_Basic_Pay,2nd_Month_OT,2nd Month No Pay Days,2nd Month Incentive,MedicalTest,IQTestScore,ExpectedSalary,FollowingExternalCourses,LastBasicSal_cat,Age_cat,Age(Median),Age_Joined,Is Terminated
231,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Moderate,NoChildren,FALSE,NoJob,156,42,29765,>27000,9,10,18000,8265,0,0,Passed,80,25000,No,NoJob,20to25,22,23,No
232,Female,No,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,168,46,31050,>27000,9,10,18000,8550,0,5505,Passed,70,25000,No,NoJob,less20,19,19,No
233,Female,No,Boarded,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,CompanyPlant,Average,Moderate,Unmarried,TRUE,JobIssue,155,50,26785,26000-27000,8,8,18000,5985,0,0,Passed,100,25000,No,15000to30000,20to25,22,24,No
234,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Support,TRUE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,TRUE,PersonalIssue,166,59,33047.38,>27000,9,10,22850,8397.38,0,0,Passed,0,28000,Yes,15000to30000,30to35,32,30,No
235,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NonApparel,Other,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,High,NoChildren,FALSE,PersonalIssue,168,65,27057.5,>27000,9,9,18000,5557.5,0,0,Passed,85,30000,No,30000to50000,above35,38,35,No
236,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,180,66,38055,>27000,9,10,18000,10355,0,0,Passed,70,25000,No,NoJob,less20,19,18,No
237,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,156,42,25165.58,25000-26000,7,7,18000,2992.5,0,0,Passed,80,25000,No,NoJob,20to25,22,21,No
238,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,TRUE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,High,ChildrenGreaterThan5Yrs,TRUE,NoJob,162,55,26342.5,26000-27000,8,8,18000,5842.5,0,0,Passed,85,28000,No,NoJob,above35,38,39,No
239,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,Low,ChildrenGreaterThan5Yrs,TRUE,JobIssue,168,60,25915,25000-26000,7,7,18000,5415,0,0,Passed,65,28000,No,15000to30000,above35,38,39,No
240,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,DifferentCompany,Good,Moderate,ChildrenLessThan5Yrs,TRUE,Other,162,55,28772.5,>27000,9,10,18000,5272.5,0,0,Passed,80,25000,No,15000to30000,above35,38,40,No
241,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Average,Low,Unmarried,FALSE,NoJob,165,55,32333.75,>27000,9,10,18000,8383.75,0,0,Passed,50,25000,No,NoJob,less20,19,19,No
242,Female,No,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Other,ShortTerm,Yes,B,TMMO,LikeSewing,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,165,69,30112.5,>27000,9,10,18000,8312.5,0,5905,Passed,80,25000,No,NoJob,20to25,22,21,No
243,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,SamePlant,Good,Moderate,ChildrenLessThan5Yrs,TRUE,Other,165,69,31335,>27000,9,10,18000,8835,0,2805,Passed,0,30000,No,15000to30000,25to30,27,29,No
244,Female,Yes,ComingFromHome,Unmarried,PassedAL,Pasinduni,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Average,Moderate,Unmarried,FALSE,NoJob,165,69,32335,>27000,9,10,18000,8835,0,0,Passed,90,25000,No,NoJob,20to25,22,22,No
245,Female,Yes,ComingFromHome,Unmarried,UptoOL,Dinuka,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,NoJob,Good,Low,Unmarried,FALSE,NoJob,156,45,32175,>27000,9,10,18000,6175,0,3859,Passed,85,25000,No,NoJob,20to25,22,23,No
246,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,D,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,162,52,31027.5,>27000,9,10,18000,8027.5,0,4004,Passed,80,19000,No,NoJob,20to25,22,21,No
247,Female,No,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,DifferentCompany,Good,High,NoChildren,FALSE,JobIssue,162,65,30812.5,>27000,9,10,18000,8312.5,0,2522,Passed,50,19000,No,15000to30000,30to35,32,31,No
248,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Average,Moderate,Unmarried,FALSE,NoJob,162,59,34736.16,>27000,9,10,18000,8740,0.5,12155,Passed,80,19000,No,NoJob,20to25,22,20,No
249,Female,No,Boarded,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,DifferentCompany,Good,Moderate,Unmarried,FALSE,Other,162,58,28304.38,>27000,9,10,18000,6804.38,0,1287,Passed,50,19000,Expect,0to15000,25to30,27,25,No
250,Female,No,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,Apparel,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,Other,DifferentCompany,Good,Moderate,ChildrenLessThan5Yrs,FALSE,PersonalIssue,153,68,28482.5,>27000,9,10,18000,6982.5,0,1378,Passed,80,,No,,25to30,27,25,No
251,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Good,Low,Unmarried,FALSE,NoJob,162,45,32797.41,>27000,9,10,18000,6697.5,0,731,Passed,50,19000,No,NoJob,30to35,32,31,No
252,Female,Yes,ComingFromHome,Married,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NoJob,Good,High,ChildrenLessThan5Yrs,FALSE,NoJob,162,56,31464.75,>27000,9,10,18957,8007.75,0,886,Passed,65,19000,No,NoJob,20to25,22,22,No
253,Female,No,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,B,TMMO,LikeSewing,DifferentCompany,Good,Moderate,Unmarried,FALSE,JobIssue,156,60,28497.5,>27000,9,10,18000,6697.5,0,726,Passed,60,19000,No,0to15000,above35,38,39,No
254,Female,Yes,ComingFromHome,Unmarried,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,C,TMSA,LikeSewing,SamePlant,Average,Low,Unmarried,TRUE,JobIssue,176,62,34724.04,>27000,9,10,18000,8312.5,0,11544,Passed,0,25000,No,15000to30000,less20,19,19,No
255,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,Apparel,Sewing,FALSE,NoSpouse,Like,Media,LongTerm,Yes,C,TMMO,LikeSewing,CompanyPlant,Average,Low,Unmarried,TRUE,JobIssue,155,50,28482.5,>27000,9,10,18000,6982.5,0,1378,Passed,75,30000,No,30000to50000,20to25,22,22,No
256,Female,No,Boarded,Married,UptoOL,Dinuka,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,Low,NoChildren,FALSE,JobIssue,158,42,22793.65,22000-23000,4,4,18000,6697.5,5,1062,Passed,70,28000,No,0to15000,20to25,22,21,No
257,Female,Yes,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,LikeSewing,SamePlant,Average,High,ChildrenLessThan5Yrs,FALSE,Other,160,50,32228.41,>27000,9,10,19557,8171.41,0,1164,Passed,0,30000,No,15000to30000,20to25,22,24,No
258,Female,Yes,ComingFromHome,Married,UptoOL,Lahiru,FALSE,FALSE,Apparel,Sewing,FALSE,NoJob,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CloseProximityToHome,CompanyPlant,Good,Moderate,ChildrenLessThan5Yrs,FALSE,PersonalIssue,162,58,31565.99,>27000,9,10,19083,7982.99,0,3165,Passed,0,19000,No,15000to30000,25to30,27,28,No
259,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CloseProximityToHome,NoJob,Good,Low,Unmarried,FALSE,NoJob,162,58,29782.5,>27000,9,10,18000,6982.5,0,2652,Passed,80,19000,No,NoJob,25to30,27,25,No
260,Female,Yes,ComingFromHome,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Average,Low,Unmarried,FALSE,NoJob,162,59,30767.5,>27000,9,10,18000,7267.5,0,7921,Passed,80,19000,No,NoJob,20to25,22,23,No
261,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,Apparel,Sewing,TRUE,HaveAJob,Like,FriendOrRelative,LongTerm,Yes,C,TMMO,LikeSewing,DifferentCompany,Average,Low,ChildrenGreaterThan5Yrs,TRUE,PersonalIssue,164,68,30637.5,>27000,9,10,18000,7837.5,0,1164,Passed,80,30000,No,15000to30000,above35,38,38,No
262,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,D,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,162,85,28055,>27000,9,10,18000,6555,0,426,Passed,75,19000,No,NoJob,25to30,27,26,No
263,Female,No,ComingFromHome,Unmarried,PassedOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,Media,ShortTerm,Yes,C,TMMO,LikeSewing,NoJob,Average,Low,Unmarried,FALSE,NoJob,156,49,25266.73,25000-26000,7,7,18000,6697.5,1,3820,Passed,90,30000,No,NoJob,20to25,22,22,No
264,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,FamilyMembersAeWorkingInApparel,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,163,68,28482.5,>27000,9,10,18000,6982.5,0,1287,Passed,70,25000,No,NoJob,20to25,22,21,No
265,Female,No,Boarded,Unmarried,UptoOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Low,Unmarried,FALSE,NoJob,163,59,29055,>27000,9,10,18000,6555,0,2619,Passed,100,19000,No,NoJob,20to25,22,21,No
266,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Moderate,Unmarried,FALSE,NoJob,165,59,27902.12,>27000,9,9,18000,7267.5,0.5,4411,Passed,80,25000,No,NoJob,20to25,22,21,No
267,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,LikeSewing,NoJob,Average,High,Unmarried,FALSE,NoJob,165,63,23585.58,23000-24000,5,5,18000,6412.5,2.5,1310,Passed,65,25000,No,NoJob,30to35,32,34,No
268,Female,Yes,ComingFromHome,Unmarried,UptoOL,Gihan,FALSE,FALSE,NoJob,NoExperience,FALSE,NoSpouse,Like,FriendOrRelative,LongTerm,Yes,B,TMMO,CouldnotFindAnotherJob,NoJob,Good,Low,Unmarried,FALSE,NoJob,165,65,26619.62,26000-27000,8,8,18000,5985,0.5,1700,Passed,80,19000,No,NoJob,20to25,22,21,No
269,Female,No,ComingFromHome,Married,PassedOL,Lahiru,FALSE,FALSE,NoJob,NoExperience,FALSE,HaveAJob,Like,Media,LongTerm,Yes,C,TMMO,CloseProximityToHome,NoJob,Average,Low,NoChildren,FALSE,NoJob,149,40,23870.58,23000-24000,5,5,18000,6697.5,2.5,189,Passed,80,28000,No,NoJob,less20,19,19,No
270,Female,No,Boarded,Married,PassedAL,Lahiru,TRUE,FALSE,NonApparel,NoExperience,FALSE,HaveAJob,Like,Other,LongTerm,Yes,C,TMMO,Other,DifferentCompany,Good,High,NoChildren,FALSE,Other,159,,25821.73,25000-26000,7,7,18000,7552.5,1,1831,Passed,90,,Yes,,25to30,27,27,No
